stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation
Angel Stadium,Los Angeles Angels,angels,LAA,-245.69442266919052,264.87664362521014,361.282971739471,outfield_outer,-32.1,5,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-239.40979247228552,278.37375605707365,367.16344697279703,outfield_outer,-30.5,5,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-229.63628413271363,289.7141867313982,369.6851809089943,outfield_outer,-28.8,5,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-219.4177675353718,300.6995334162334,372.24234862109245,outfield_outer,-27.1,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-209.13024124047956,311.62032683525706,375.2901356260428,outfield_outer,-25.4,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-198.7641186756749,322.46646603379025,378.8031105854853,outfield_outer,-23.7,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-188.4451837275506,333.3573719743964,382.934360850246,outfield_outer,-22.1,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-178.19112755312906,344.30952343342074,387.6868915318195,outfield_outer,-20.5,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-167.93083783489553,355.25573252070967,392.94707249800956,outfield_outer,-19,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-156.49479748327454,364.55628899257914,396.7264920362289,outfield_outer,-17.4,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-141.99930033838575,368.42452626540364,394.8422885792227,outfield_outer,-15.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-127.4979454671677,372.27043859847043,393.498418742244,outfield_outer,-14.2,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-113.03330395889682,376.2538079718497,392.86569692094764,outfield_outer,-12.5,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-98.55889520749248,380.2013866330811,392.76831621483814,outfield_outer,-10.9,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-84.10096433402585,384.20960588516084,393.3064879408217,outfield_outer,-9.3,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-69.59850718503276,388.0534538822638,394.2453998112588,outfield_outer,-7.6,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-55.12235286260027,391.995347075404,395.8520252744395,outfield_outer,-6,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-40.64239903494937,395.9231302737327,398.00368049186073,outfield_outer,-4.4,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-26.164748713136344,399.85946452883286,400.714593505785,outfield_outer,-2.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,-11.684759873544767,403.78724589527155,403.9562767936536,outfield_outer,-1.2,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,2.7914173560069364,407.72897886564857,407.73853413392254,outfield_outer,0.3,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,17.103339556345166,410.19873858846125,410.55514777377283,outfield_outer,1.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,30.314625330359448,403.0883234679791,404.22663571955053,outfield_outer,3.2,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,43.52783837583165,395.98138447428164,398.3665768658829,outfield_outer,4.7,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,56.7557516700314,388.9018837869976,393.0214886754993,outfield_outer,6.2,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,69.96650016268336,381.7904072224308,388.1484589587911,outfield_outer,7.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,83.1790329431707,374.6822056289683,383.8039952063417,outfield_outer,9.4,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,96.388210107774,367.56778282575084,379.99573947508765,outfield_outer,11,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,109.59279428137873,360.4449178242188,376.7374674009853,outfield_outer,12.7,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,122.84003464449438,353.40252835997387,374.14304906370063,outfield_outer,14.4,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,136.0770915230295,346.3411227737487,372.1144288542811,outfield_outer,16.1,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,149.2789206234043,339.2130991771372,370.60723521788805,outfield_outer,17.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,162.50315105433458,332.1267117072233,369.7504925379288,outfield_outer,19.6,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,175.70637191248122,325.001251386141,369.4570915995588,outfield_outer,21.3,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,188.87389910479058,317.8104872999429,369.6983305356866,outfield_outer,23,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,202.1037449225629,310.7351952613547,370.6781424441379,outfield_outer,24.8,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,214.8694348091004,302.9223736682968,371.3904124826292,outfield_outer,26.5,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,226.10142113622678,292.9755916299849,370.07641093531083,outfield_outer,28.2,8,NE
Angel Stadium,Los Angeles Angels,angels,LAA,236.07982649009193,282.0244646003419,367.79271758519286,outfield_outer,29.9,5,NE
Angel Stadium,Los Angeles Angels,angels,LAA,242.40953082417602,268.4704672174625,361.71642539752014,outfield_outer,31.6,5,NE
Angel Stadium,Los Angeles Angels,angels,LAA,246.2105606491796,253.9780078562958,353.72937204851394,outfield_outer,33.1,5,NE
Minute Maid Park,Houston Astros,astros,HOU,232.2561599906836,240.39807524691886,334.2665978467506,outfield_outer,33,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,222.9193137078114,251.70421232784278,336.22616038544857,outfield_outer,31.1,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,213.6256915038171,263.04340676595933,338.86246459814043,outfield_outer,29.3,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,204.30700318779697,274.3643398777807,342.07768496081246,outfield_outer,27.5,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,194.99980888746538,285.6947265432954,345.89941058174173,outfield_outer,25.7,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,185.5619106830714,296.9164359789136,350.132250229499,outfield_outer,24,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,176.1810872623351,308.1859954567338,354.99068058837327,outfield_outer,22.3,7,ENE
Minute Maid Park,Houston Astros,astros,HOU,166.82372086592392,319.47516007564906,360.4088397208277,outfield_outer,20.7,7,ENE
