index,player_name,player_team,game_date,events,launch_speed,launch_angle,hit_distance_sc,hit_direction,total_dongs
5,Ozzie Albies,ATL,2021-04-30,home_run,102.3,34,424,Left-Center,30
17,Randal Grichuk,TOR,2021-04-30,home_run,105.3,29,417,Left,30
22,Aaron Hicks,NYY,2021-04-30,home_run,101.1,27,420,Left-Center,30
33,AJ Pollock,LAD,2021-04-30,home_run,107.6,23,412,Left-Center,30
46,Tyler O'Neill,STL,2021-04-30,home_run,112.2,36,426,Left-Center,30
60,Joey Votto,CIN,2021-04-30,home_run,113,31,429,Right,30
61,J.D. Martinez,BOS,2021-04-30,home_run,107.9,31,440,Center,30
66,Austin Hays,BAL,2021-04-30,home_run,105.9,23,383,Left,30
67,Alex Bregman,HOU,2021-04-30,home_run,103,27,405,Left,30
106,Jackie Bradley Jr.,MIL,2021-04-30,home_run,100.8,34,391,Right,30
118,Buster Posey,SF,2021-04-30,home_run,103.5,26,384,Right,30
120,Josh Rojas,ARI,2021-04-30,home_run,101.4,29,409,Left-Center,30
124,Kris Bryant,CHC,2021-04-30,home_run,100.8,32,374,Left,30
133,Lourdes Gurriel Jr.,TOR,2021-04-30,home_run,102.9,42,395,Left-Center,30
148,Rougned Odor,NYY,2021-04-30,home_run,102.9,25,402,Right,30
157,Mitch Haniger,SEA,2021-04-30,home_run,106.3,28,434,Center,30
167,Kyle Schwarber,WSH,2021-04-30,home_run,115.4,32,454,Center,30
178,Marcell Ozuna,ATL,2021-04-29,home_run,114.3,25,479,Left,30
183,Brandon Lowe,TB,2021-04-29,home_run,109.6,35,431,Right-Center,30
226,Yermín Mercedes,CWS,2021-04-29,home_run,110.8,31,449,Center,30
227,Jake Marisnick,CHC,2021-04-29,home_run,99.3,36,412,Left,30
269,Brad Miller,PHI,2021-04-28,home_run,103.8,27,388,Right,30
287,Mike Zunino,TB,2021-04-28,home_run,112.8,35,466,Center,30
290,Erik González,PIT,2021-04-28,home_run,109.8,28,453,Left-Center,30
291,Huascar Ynoa,ATL,2021-04-28,home_run,104.4,23,397,Left,30
298,Mitch Garver,MIN,2021-04-28,home_run,108.8,23,407,Left,30
305,Justin Turner,LAD,2021-04-28,home_run,106.2,31,411,Left-Center,30
313,Ozzie Albies,ATL,2021-04-28,home_run,104.4,41,387,Right,30
322,Tyler O'Neill,STL,2021-04-28,home_run,109.2,26,420,Left,30
336,Willians Astudillo,MIN,2021-04-28,home_run,101.7,23,384,Left,30
340,Jorge Polanco,MIN,2021-04-28,home_run,106.3,23,426,Left-Center,30
350,Mitch Garver,MIN,2021-04-28,home_run,109.1,32,413,Left,30
372,Wyatt Mathisen,ARI,2021-04-28,home_run,106.7,27,429,Left-Center,30
373,Josh Donaldson,MIN,2021-04-28,home_run,106.3,28,423,Left-Center,30
383,Marcell Ozuna,ATL,2021-04-28,home_run,107.6,30,453,Left-Center,30
413,Bo Bichette,TOR,2021-04-28,home_run,105.4,26,438,Left-Center,30
420,Carson Kelly,ARI,2021-04-27,home_run,105.3,33,438,Left,30
436,Ronald Acuña Jr.,ATL,2021-04-27,home_run,111.9,27,481,Left-Center,30
437,Franmil Reyes,CLE,2021-04-27,home_run,111.3,22,434,Left-Center,30
448,Kyle Higashioka,NYY,2021-04-27,home_run,104.1,31,396,Right-Center,30
464,Vladimir Guerrero Jr.,TOR,2021-04-27,home_run,108.4,26,415,Left-Center,30
469,Joey Gallo,TEX,2021-04-27,home_run,114.3,22,394,Right,30
500,Franmil Reyes,CLE,2021-04-27,home_run,111.3,33,452,Left,30
501,Jeff McNeil,NYM,2021-04-27,home_run,107.7,29,388,Right,30
506,José Ramírez,CLE,2021-04-27,home_run,108.6,22,411,Right,30
518,Miguel Cabrera,DET,2021-04-27,home_run,110.2,27,445,Left-Center,30
528,C.J. Cron,COL,2021-04-27,home_run,108,26,390,Right,30
536,Ryan McMahon,COL,2021-04-27,home_run,108.4,29,449,Right-Center,30
557,Sean Murphy,OAK,2021-04-27,home_run,112.8,26,454,Left,30
585,Rhys Hoskins,PHI,2021-04-26,home_run,103.3,33,409,Left,30
600,Justin Upton,LAA,2021-04-26,home_run,103,27,412,Left,30
635,Freddie Freeman,ATL,2021-04-26,home_run,99.9,40,385,Right,30
643,Willson Contreras,CHC,2021-04-26,home_run,114.3,24,456,Left-Center,30
674,Jordan Luplow,CLE,2021-04-26,home_run,103.2,34,399,Left,30
681,Cedric Mullins,BAL,2021-04-26,home_run,105.6,28,406,Right,30
729,Bryce Harper,PHI,2021-04-25,home_run,108.8,28,468,Right-Center,30
739,Eduardo Escobar,ARI,2021-04-25,home_run,103.3,26,377,Left,30
740,Kole Calhoun,ARI,2021-04-25,home_run,105.1,29,410,Right-Center,30
755,Nelson Cruz,MIN,2021-04-25,home_run,107.1,30,411,Left-Center,30
774,Stephen Vogt,ARI,2021-04-25,home_run,106.4,29,401,Right,30
775,David Peralta,ARI,2021-04-25,home_run,106.9,26,445,Right-Center,30
779,C.J. Cron,COL,2021-04-25,home_run,107.5,28,447,Left-Center,30
782,José Abreu,CWS,2021-04-25,home_run,110.8,27,416,Left-Center,30
790,Bryce Harper,PHI,2021-04-25,home_run,105.6,34,430,Right-Center,30
