stadium,full_team_name,team,team_abbr,team_logo
Chase Field,Arizona Diamondbacks,diamondbacks,ARI,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png
Truist Park,Atlanta Braves,braves,ATL,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png
Fenway Park,Boston Red Sox,red_sox,BOS,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png
Wrigley Field,Chicago Cubs,cubs,CHC,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png
Guaranteed Rate Field,Chicago White Sox,white_sox,CWS,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png
Great American Ballpark,Cincinnati Reds,reds,CIN,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png
Progressive Field,Cleveland Indians,indians,CLE,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png
Coors Field,Colorado Rockies,rockies,COL,https://a.espncdn.com/i/teamlogos/mlb/500/col.png
Comerica Park,Detroit Tigers,tigers,DET,https://a.espncdn.com/i/teamlogos/mlb/500/det.png
Minute Maid Park,Houston Astros,astros,HOU,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png
Kauffman Stadium,Kansas City Royals,royals,KC,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png
Dodger Stadium,Los Angeles Dodgers,dodgers,LAD,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png
Angel Stadium,Los Angeles Angels,angels,LAA,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png
LoanDepot Park,Miami Marlins,marlins,MIA,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png
American Family Field,Milwaukee Brewers,brewers,MIL,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png
Target Field,Minnesota Twins,twins,MIN,https://a.espncdn.com/i/teamlogos/mlb/500/min.png
Citi Field,New York Mets,mets,NYM,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png
Yankee Stadium,New York Yankees,yankees,NYY,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png
RingCentral Coliseum,Oakland Athletics,athletics,OAK,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png
Citizens Bank Park,Philadelphia Phillies,phillies,PHI,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png
PNC Park,Pittsburgh Pirates,pirates,PIT,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png
PETCO Park,San Diego Padres,padres,SD,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png
Oracle Park,San Franciso Giants,giants,SF,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png
T-Mobile Park,Seattle Mariners,mariners,SEA,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png
Busch Stadium,St. Louis Cardinals,cardinals,STL,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png
Tropicana Field,Tampa Bay Rays,rays,TB,https://a.espncdn.com/i/teamlogos/mlb/500/tb.png
Globe Life Field,Texas Rangers,rangers,TEX,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png
Rogers Centre,Toronto Blue Jays,blue_jays,TOR,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png
Nationals Park,Washington Nationals,nationals,WAS,https://a.espncdn.com/i/teamlogos/mlb/500/was.png
